"","ID","NAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5088","AT1G79890",NA,0.186389504266186,2.36584491628373,0.889850164375799,0.404110414421867,0.476186896116055,-5.29095835833446
"268","AT1G04170","EIF2",-2.79284800327229,95.169716270304,-0.889725843708276,0.40417262203101,0.476231790969316,-5.29105737314254
"5639","AT2G16090","ARI2",-0.686032528159136,11.9072336844532,-0.889459019098204,0.404306159676242,0.47636072278686,-5.29126984911876
"963","AT1G12160","FMOGS-OX7",-0.622900488424751,7.22170386716641,-0.889319715057977,0.404375890076237,0.476414464875409,-5.29138075944409
"11506","AT3G56510",NA,-1.2181861181611,16.480035031461,-0.889257413970148,0.404407078547347,0.476422795182746,-5.29143035768993
"16323","AT5G16830","ATPEP12",1.77293881271316,30.1721137063294,0.88915901080056,0.404456343654878,0.476452418901452,-5.29150869160155
"9365","AT3G15115",NA,1.2620540731422,21.1757199518131,0.888802864325363,0.404634683831087,0.476634081359528,-5.29179214691925
"7352","AT2G38580",NA,1.2063126476322,21.5244548673372,0.888170500630664,0.404951482647056,0.4769788079548,-5.2922952285092
"17794","AT5G44370","PHT4;6",0.814917045585133,11.4437751594908,0.887631641136229,0.405221582515403,0.477268491593684,-5.29272370626178
"7379","AT2G38880","ATHAP3",1.0534775668493,14.4398858373343,0.887393610763813,0.405340936018929,0.477380602761457,-5.29291291443232
"6116","AT2G22530",NA,-0.862044539790036,11.8512904306248,-0.887304989818347,0.405385379072861,0.477404481829337,-5.29298334850428
"14870","AT4G38210","ATEXP20",-0.522193512652868,9.53724495458886,-0.886809291136272,0.405634036265918,0.477668837698775,-5.29337722026989
"11322","AT3G54320","ASML1",0.789272537576718,8.40307432684598,0.886279077596899,0.405900131579207,0.47794179531493,-5.29379833051778
"18197","AT5G49360","ATBXL1",-48.0117733893349,814.924856862904,-0.88625101276426,0.405914219904757,0.47794179531493,-5.29382061501574
"13601","AT4G23070","ATRBL7",0.292165019160193,1.52496621660067,0.886188024286158,0.405945840938124,0.477950538913559,-5.29387062819325
"9869","AT3G21100",NA,-0.893910395491268,15.631508764219,-0.885987267456405,0.406046635585145,0.478040719908753,-5.29403001200972
"1922","AT1G24160",NA,5.14336505915998,89.918475222889,0.885895039924807,0.406092946749495,0.478066750303309,-5.29410322355023
"194","AT1G03330","LSM2",2.0267046022451,19.4499921888495,0.885815238181497,0.40613302156496,0.478085436386045,-5.29416656661579
"3575","AT1G60710","ATB2",-5.67838968789436,125.792570729579,-0.885510190816761,0.406286237016755,0.478237297463292,-5.29440865936667
"15711","AT5G08750",NA,0.703030541787898,13.8036647394112,0.885348269600802,0.406367582119081,0.478301519718421,-5.29453713792026
"16184","AT5G15210","ATHB30",-2.57162359368634,33.8705271515476,-0.885305196862105,0.406389222787991,0.478301519718421,-5.29457131153275
"10311","AT3G26980","MUB4",-0.997618768581293,10.7103656274617,-0.885041012590497,0.406521973210032,0.478429255811198,-5.29478088566391
"11986","AT3G62990",NA,-0.165005650598603,0.763694038343725,-0.884930551200315,0.406577488617229,0.478466085436956,-5.29486849913
"17832","AT5G44770",NA,0.138493136782552,0.58675381636128,0.884831943107092,0.406627051540833,0.478495906126027,-5.29494670397222
"440","AT1G06149","CPuORF8",0.238587526022253,2.00030722891233,0.884227432910408,0.406930990908808,0.478825041363628,-5.29542598757803
"644","AT1G08530",NA,0.887189504208232,7.24752275355161,0.884007236820996,0.407041744004054,0.478926833703978,-5.29560050687729
"12012","AT3G63290",NA,0.18983691992289,3.85004610262545,0.883849104390028,0.407121294327162,0.47899190280755,-5.2957258162693
"4934","AT1G78120","TPR12",-0.382437129293997,6.8812441007888,-0.883351287962189,0.407371801267226,0.479258088394544,-5.29612019040214
"7124","AT2G35945",NA,0.139973237699193,1.7969949116951,0.883041528431637,0.407527733049859,0.479412984675257,-5.2963654984308
