NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0008213	GO:0008213		57	0.13047552	0.48473322	1.0	1.0	1.0	4219	tags=16%, list=22%, signal=20%	
GO:0033108	GO:0033108		25	0.15811363	0.48441768	0.9967159	1.0	1.0	7484	tags=40%, list=38%, signal=65%	
GO:0016780	GO:0016780		20	0.16106786	0.4837281	0.9983108	1.0	1.0	4245	tags=20%, list=22%, signal=26%	
GO:0006479	GO:0006479		57	0.13047552	0.48320568	1.0	1.0	1.0	4219	tags=16%, list=22%, signal=20%	
GO:0061157	GO:0061157		26	0.1512146	0.48271513	0.99656355	1.0	1.0	16623	tags=100%, list=85%, signal=661%	
GO:0050779	GO:0050779		26	0.1512146	0.48147133	0.99659866	1.0	1.0	16623	tags=100%, list=85%, signal=661%	
GO:0061014	GO:0061014		26	0.1512146	0.4748402	0.9967267	1.0	1.0	16623	tags=100%, list=85%, signal=661%	
GO:0016592	GO:0016592		22	0.15528676	0.47082406	0.9950413	1.0	1.0	6954	tags=32%, list=36%, signal=49%	
GO:0006995	GO:0006995		17	0.16079575	0.46900928	0.9983193	1.0	1.0	4922	tags=24%, list=25%, signal=31%	
GO:0032981	GO:0032981		18	0.15845321	0.4572417	0.99833053	1.0	1.0	8181	tags=50%, list=42%, signal=86%	
GO:0007005	GO:0007005		84	0.1141004	0.45365375	1.0	1.0	1.0	7163	tags=31%, list=37%, signal=49%	
GO:0003730	GO:0003730		18	0.15135711	0.4331476	1.0	1.0	1.0	16619	tags=100%, list=85%, signal=660%	
GO:0007030	GO:0007030		20	0.11981104	0.3625619	1.0	0.99998087	1.0	3316	tags=10%, list=17%, signal=12%	
