"","id","name","p_val","log_fold_change","sig_rank"
"3668","AT2G35190","ATNPSN11",0.000365667705533746,-14.9458894962806,-11.4171791609195
"3669","AT5G63910","FCLY",0.000365667705533746,-13.3275705666984,-11.4171791609195
"3670","AT5G61260",NA,0.000366392381455304,-1.72295107709324,-11.4143228743431
"3673","AT1G29490","SAUR68",0.000368245618312349,-2.94451055453035,-11.4070440205522
"3674","AT3G14370","WAG2",0.000368245618312349,-57.0652597897657,-11.4070440205522
"3680","AT4G31240","AtNRX2",0.00037037960205677,-5.31505658755753,-11.3987077324142
"3684","AT4G35790","ATPLDDELTA",0.00037349479529879,-99.6235590154027,-11.3866242405482
"3685","AT2G19130",NA,0.000374507497616646,-4.99734129115271,-11.3827177779119
"3688","AT1G11950",NA,0.000376738270571244,-7.71910120930777,-11.3741497841222
"3690","AT1G18570","AtMYB51",0.000376931452847321,-12.8439097526623,-11.3734101945934
"3691","AT5G43880","TRM21",0.000378044156408818,-25.3884828787698,-11.3691576252315
"3694","AT1G60190","AtPUB19",0.000378740032232272,-8.0189937102416,-11.3665044596458
"3695","AT2G44080","ARL",0.000378740032232272,-44.1872182543276,-11.3665044596458
"3698","AT3G10190","CML36",0.000378815092043471,-5.8873659761667,-11.3662185704365
"3700","AT5G08240",NA,0.000378945075496049,-16.0315638493826,-11.3657236209992
"3705","AT4G25990","CIL",0.00038081487770381,-20.6863764461725,-11.358622536486
"3707","AT2G46310","CRF5",0.000382132513788743,-2.76770300819254,-11.3536393647586
"3708","AT3G12520","SULTR4;2",0.000382968535528425,-3.7061619126248,-11.3504865135136
"3709","AT1G74000","SS3",0.000383241890918014,-2.09497401993648,-11.3494571135783
"3715","AT5G18020","SAUR20",0.000385664097018123,-4.99376401846871,-11.3403675334657
"3716","AT5G61960","AML1",0.000386367582494037,-35.8389835469627,-11.3377383271383
"3718","AT5G54200","WDD1",0.000387338286794165,-28.9814602768769,-11.3341182666726
"3719","AT1G08030","AQC1",0.000388355530498942,-12.5850843783295,-11.330334368292
"3723","AT2G33630",NA,0.000388991513003675,-13.6691291256761,-11.327973700639
"3726","AT5G27520","AtPNC2",0.000388991513003675,-14.1124409015954,-11.327973700639
"3728","AT1G70980","SYNC3",0.000390003446481755,-13.1891675931465,-11.3242255063434
"3729","AT1G47710","AtSERPIN1",0.000390390602520523,-11.6847728156435,-11.3227940547742
"3730","AT1G77640","ERF013",0.000390608272514458,-1.78784473721908,-11.3219898758209
"3732","AT4G02570","ATCUL1",0.000390608272514458,-72.5738155262094,-11.3219898758209
"3733","AT3G03000","CML18",0.000390625907237878,-5.9700345341602,-11.3219247441902
"3735","AT2G44180","MAP2A",0.000392000655167453,-11.7704010222597,-11.3168563139691
"3736","AT2G43000","ANAC042",0.000392724748657167,-2.02229518213834,-11.3141938631853
"3745","AT5G05100","MUG13.4",0.000395760665720319,-20.024369840057,-11.3030841481397
"3749","AT5G07290","AML4",0.000397793376087252,-18.7139452185289,-11.2956931264186
"3750","AT1G67270",NA,0.000397998413927397,-0.896376578964402,-11.2949496980861
"3752","AT4G14720","PPD2",0.000397998413927397,-15.3321378594227,-11.2949496980861
"3756","AT2G36810","SGR6",0.00039861232328844,-30.2736535039091,-11.2927260670837
"3759","AT1G09460",NA,0.000401401089263225,-25.8634083882731,-11.28266784787
"3761","AT5G14360",NA,0.000401729657700354,-19.4812078634943,-11.281487407243
"3763","AT4G23190","AT-RLK3",0.000402124102199172,-4.83913488914736,-11.2800715696954
"3765","AT1G72520","ATLOX4",0.000403156096096884,-2.51155158148797,-11.2763738423784
"3766","AT1G55530","BTL06",0.000403158047990971,-14.158952376501,-11.2763668575377
"3768","AT1G72840",NA,0.000403752944363143,-11.0618045716902,-11.2742395988695
"3773","AT3G20898",NA,0.000405559593712109,-2.0568094317971,-11.2677984571268
"3774","AT5G55410",NA,0.000405840637778077,-3.76597871498634,-11.2667990467724
"3775","AT2G45620","URT1",0.000407506193734689,-71.2657585973308,-11.2608903923471
"3778","AT5G10290",NA,0.000408943337998581,-13.5785943397818,-11.2558114181708
"3779","AT1G20880",NA,0.000409080963063269,-10.423548462737,-11.255325977824
"3781","AT1G08670",NA,0.000409646900203494,-2.69260077189354,-11.2533314815516
"3783","AT1G79380","RGLG4",0.000409848278902027,-28.7952156115771,-11.2526224400271
"3785","AT4G01740",NA,0.000409848278902027,-1.83032259236312,-11.2526224400271
"3786","AT5G38860","BIM3",0.000410198327576746,-4.28047899967959,-11.2513907697445
"3787","AT3G28180","ATCSLC04",0.000410345542028947,-134.790113022469,-11.2508730995253
"3788","AT3G03850","SAUR26",0.000410688921489191,-4.58454217508607,-11.2496663490286
