"","id","name","p_val","log_fold_change","sig_rank"
"6007","AT5G42530",NA,0.0020246183396644,-2.66924248117864,-8.94813431314324
"6008","AT5G11850","M3K&#948;1",0.0020253808589765,-11.8364536830761,-8.94759106224901
"6009","AT5G40420","OLE2",0.0020260540360228,-6.86457251923472,-8.947111632506
"6014","AT1G55360",NA,0.00203084623524667,-28.0506319920454,-8.94370327400143
"6015","AT4G08330",NA,0.00203249354873559,-4.05728749283652,-8.94253351156077
"6017","AT4G38270","GAUT3",0.00203621348036497,-10.6090308637949,-8.93989546051845
"6019","AT5G53550","ATYSL3",0.00203707219920289,-12.2741403745984,-8.93928717054087
"6021","AT1G77270",NA,0.00203973843746383,-3.93919159949741,-8.93740012225332
"6024","AT1G15130","ALIX",0.0020483391176244,-28.2857056550786,-8.93132970076272
"6030","AT5G22350","ELM1",0.00206227924799686,-9.18913931624627,-8.92154458705634
"6031","AT2G02710","PLP",0.00206281008826754,-9.83641287448899,-8.92117327842866
"6032","AT2G18540",NA,0.00206281008826754,-9.94363240978542,-8.92117327842866
"6033","AT5G64180",NA,0.00206575354997858,-11.6201464249333,-8.91911613763824
"6034","AT3G51120",NA,0.00206791220844331,-19.8218666874019,-8.91760934617171
"6035","AT1G79620","VRLK1",0.00206825081444024,-9.6982137215125,-8.91737313440202
"6036","AT1G63180","UGE3",0.002068318084258,-18.8862917728896,-8.91732621153678
"6038","AT1G08770","PRA1.E",0.00207168211717108,-5.15860080153563,-8.91498163451596
"6040","AT2G45910","PUB33",0.00207236001172647,-13.9380998161639,-8.91450963394665
"6042","AT5G26040","HDA2",0.00207236001172647,-2.69842978076348,-8.91450963394665
"6043","AT5G01700",NA,0.00207340029652813,-3.26828283070803,-8.91378561053749
"6044","AT5G44750","ATREV1",0.00207353808207591,-22.9883905306219,-8.91368974100271
"6046","AT2G17830",NA,0.00207365370332331,-0.920118404249308,-8.91360929803845
"6047","AT1G06330","AtHMP02",0.00207438896569664,-0.770458178529459,-8.91309784746983
"6049","AT5G14950","ATGMII",0.00207795440179888,-12.1770048179939,-8.91062028827386
"6051","AT5G37130",NA,0.00208169118852799,-9.64698461715065,-8.90802821882174
"6052","AT5G01335",NA,0.00208200259040069,-1.85082627392833,-8.90781242104113
"6057","AT4G03510","ATRMA1",0.00209205103147682,-10.1273322348313,-8.90086624093546
"6058","AT2G47020",NA,0.00209681398403192,-2.64674013777575,-8.89758540425672
"6062","AT1G55610","BRL1",0.00209920410639658,-2.08273588498305,-8.89594183743635
"6063","AT1G07260","UGT71C3",0.00210083612501134,-3.3799321037137,-8.89482065518527
"6064","AT3G17900","TRIPP",0.00210083612501134,-16.3952048028072,-8.89482065518527
"6067","AT2G22720",NA,0.00210344352544907,-14.9579118368019,-8.89303120040293
"6068","AT3G01320","SNL1",0.00210344352544907,-12.1322821061616,-8.89303120040293
"6069","AT2G36350","AGC1-9",0.00210526092381372,-8.61251343620507,-8.89178523419048
"6070","AT3G63110","ATIPT3",0.00210716944474625,-2.3742079949528,-8.89047795376931
"6075","AT2G28290","CHR3",0.00211597155736833,-31.6483613310937,-8.88446404961064
"6080","AT1G52150","ATHB-15",0.00212518681163066,-12.060613486682,-8.87819461970952
"6082","AT3G62080","CHMP7",0.0021276949507818,-4.75108533393902,-8.8764929592652
"6083","AT4G17350","FL5",0.00212977500744075,-2.96938784930541,-8.87508325458385
"6085","AT5G05550","ENAP2",0.00213392674150857,-10.6085485603579,-8.87227363590202
"6091","AT1G29980",NA,0.00214527307371453,-9.48165546781987,-8.86462298331545
"6092","AT5G08560","ATWDR26",0.0021492348022684,-14.1163151973998,-8.86196117994965
"6095","AT1G54575",NA,0.00215208611460217,-4.85468676163473,-8.86004847692377
"6097","AT1G27990",NA,0.00215308928983491,-0.843296719670603,-8.85937613453413
"6098","AT1G48690",NA,0.00215688991274041,-3.20448594369784,-8.85683174117093
